Date,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia,"Germany, repatriatedc",Total infections,New cases,Total deaths,New deaths
24-Feb,,14,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,16,—,—,—
25-Feb,1,14,—,—,—,—,—,—,—,1,—,—,—,—,—,—,2,18,2,—,—
26-Feb,3,14,—,—,—,—,—,—,—,2,—,—,—,—,—,—,2,21,3,—,—
27-Feb,6,14,—,—,—,—,—,—,—,4,—,—,—,—,—,—,2,26,5,—,—
28-Feb,10,15,—,—,—,—,—,—,—,25,—,—,—,—,1,—,2,53,27,—,—
29-Feb,14,15,—,—,—,—,3,—,—,30,1,—,—,—,1,—,2,66,13,—,—
,-197,-225,-16,-4,-5,-14,-21,-42,-3,-134,-23,-8,-17,-7,-10,-6,,,,,
2-Apr,14662,18496,2970,995,327,2406,3707,4695,438,15427,3132,1020,2183,804,1335,925,—,73522,6156,872,140
,-241,-268,-19,-7,-6,-14,-27,-45,-3,-161,-26,-11,-18,-8,-11,-7,,,,,
3-Apr,16059,20237,3202,1075,341,2596,3993,5081,468,16606,3362,1079,2336,836,1443,982,—,79696,6174,1017,145
,-285,-307,-20,-9,-6,-16,-33,-65,-4,-178,-26,-12,-21,-11,-15,-9,,,,,
4-Apr,17014,21908,3471,1211,354,2697,4279,5571,501,17885,3504,1265,2591,896,1559,1072,—,85778,6082,1158,141
,-316,-349,-22,-12,-6,-16,-42,-85,-5,-200,-29,-14,-24,-11,-17,-10,,,,,
5-Apr,18614,23846,3613,1305,394,2945,4575,5712,523,18735,3663,1358,2741,919,1631,1140,—,91714,5936,1342,184
,-367,-396,-24,-17,-6,-19,-56,-89,-5,-245,-32,-14,-32,-12,-18,-10,,,,,
6-Apr,19395,24974,3670,1345,397,2993,4674,5960,528,19384,3882,1483,2903,956,1671,1176,—,95391,3677,1434,92
,-387,-437,-26,-19,-8,-19,-61,-92,-6,-255,-32,-14,-34,-12,-20,-12,,,,,
7-Apr,20141,26163,3845,1384,399,3059,4837,6200,531,20220,3992,1532,2997,987,1730,1208,—,99225,3834,1607,173
,-433,-481,-28,-20,-9,-20,-73,-111,-8,-282,-34,-16,-38,-12,-24,-18,,,,,
8-Apr,20680,27564,4028,1472,424,3165,4965,6385,555,20929,4148,1637,3144,1020,1827,1285,—,103228,4003,1861,254
,-464,-564,-32,-22,-10,-23,-84,-121,-11,-348,-45,-23,-50,-16,-28,-20,,,,,
9-Apr,21603,28827,4202,1578,445,3320,5242,6804,572,21961,4336,1693,3261,1075,1932,1351,—,108202,4974,2107,246
,-519,-635,-37,-30,-11,-44,-100,-141,-11,-384,-50,-23,-52,-16,-34,-20,,,,,
10-Apr,22433,30363,4349,1691,454,3551,5694,7114,586,23028,4440,1854,3402,1121,2029,1416,—,113525,5323,2373,266
,-570,-703,-42,-37,-13,-53,-111,-161,-11,-446,-51,-36,-59,-18,-38,-24,,,,,
11-Apr,23617,31453,4458,1764,469,3663,5808,7343,601,23644,4622,2016,3565,1135,2065,1435,—,117658,4133,2544,171
