,Area name,Area code,Area type,Reporting date,Daily change in deaths,Cumulative deaths
92,Northern Ireland,N92000002,Nation,2020-05-18,3.0,476
93,United Kingdom,K02000001,UK,2020-05-18,160.0,34796
94,England,E92000001,Nation,2020-05-18,144.0,31010
95,Wales,W92000004,Nation,2020-05-17,12.0,1203
96,Scotland,S92000003,Nation,2020-05-17,41.0,2094
97,Northern Ireland,N92000002,Nation,2020-05-17,4.0,473
98,United Kingdom,K02000001,UK,2020-05-17,170.0,34636
99,England,E92000001,Nation,2020-05-17,113.0,30866
100,Wales,W92000004,Nation,2020-05-16,18.0,1191
101,Scotland,S92000003,Nation,2020-05-16,46.0,2053
102,Northern Ireland,N92000002,Nation,2020-05-16,15.0,469
103,United Kingdom,K02000001,UK,2020-05-16,468.0,34466
104,England,E92000001,Nation,2020-05-16,389.0,30753
105,Wales,W92000004,Nation,2020-05-15,9.0,1173
106,Scotland,S92000003,Nation,2020-05-15,34.0,2007
107,Northern Ireland,N92000002,Nation,2020-05-15,5.0,454
108,United Kingdom,K02000001,UK,2020-05-15,384.0,33998
109,England,E92000001,Nation,2020-05-15,336.0,30364
110,Wales,W92000004,Nation,2020-05-14,10.0,1164
111,Scotland,S92000003,Nation,2020-05-14,61.0,1973
112,Northern Ireland,N92000002,Nation,2020-05-14,2.0,449
113,United Kingdom,K02000001,UK,2020-05-14,428.0,33614
114,England,E92000001,Nation,2020-05-14,355.0,30028
115,Wales,W92000004,Nation,2020-05-13,22.0,1154
116,Scotland,S92000003,Nation,2020-05-13,50.0,1912
117,Northern Ireland,N92000002,Nation,2020-05-13,9.0,447
118,United Kingdom,K02000001,UK,2020-05-13,494.0,33186
119,England,E92000001,Nation,2020-05-13,413.0,29673
120,Wales,W92000004,Nation,2020-05-12,16.0,1132
121,Scotland,S92000003,Nation,2020-05-12,5.0,1862
122,Northern Ireland,N92000002,Nation,2020-05-12,3.0,438
123,United Kingdom,K02000001,UK,2020-05-12,627.0,32692
124,England,E92000001,Nation,2020-05-12,603.0,29260
125,Wales,W92000004,Nation,2020-05-11,5.0,1116
126,Scotland,S92000003,Nation,2020-05-11,10.0,1857
127,Northern Ireland,N92000002,Nation,2020-05-11,5.0,435
128,United Kingdom,K02000001,UK,2020-05-11,210.0,32065
129,England,E92000001,Nation,2020-05-11,190.0,28657
130,Wales,W92000004,Nation,2020-05-10,12.0,1111
131,Scotland,S92000003,Nation,2020-05-10,36.0,1847
132,Northern Ireland,N92000002,Nation,2020-05-10,4.0,430
133,United Kingdom,K02000001,UK,2020-05-10,269.0,31855
134,England,E92000001,Nation,2020-05-10,217.0,28467
135,Wales,W92000004,Nation,2020-05-09,9.0,1099
136,Scotland,S92000003,Nation,2020-05-09,49.0,1811
137,Northern Ireland,N92000002,Nation,2020-05-09,4.0,426
138,United Kingdom,K02000001,UK,2020-05-09,345.0,31586
139,England,E92000001,Nation,2020-05-09,283.0,28250
140,Wales,W92000004,Nation,2020-05-08,28.0,1090
141,Scotland,S92000003,Nation,2020-05-08,59.0,1762
142,Northern Ireland,N92000002,Nation,2020-05-08,4.0,422
143,United Kingdom,K02000001,UK,2020-05-08,626.0,31241
144,England,E92000001,Nation,2020-05-08,535.0,27967
145,Wales,W92000004,Nation,2020-05-07,18.0,1062
146,Scotland,S92000003,Nation,2020-05-07,83.0,1703
147,Northern Ireland,N92000002,Nation,2020-05-07,14.0,418
148,United Kingdom,K02000001,UK,2020-05-07,539.0,30615
149,England,E92000001,Nation,2020-05-07,424.0,27432
150,Wales,W92000004,Nation,2020-05-06,21.0,1044
151,Scotland,S92000003,Nation,2020-05-06,44.0,1620
152,Northern Ireland,N92000002,Nation,2020-05-06,17.0,404
153,United Kingdom,K02000001,UK,2020-05-06,649.0,30076
154,England,E92000001,Nation,2020-05-06,567.0,27008
155,Wales,W92000004,Nation,2020-05-05,26.0,1023
156,Scotland,S92000003,Nation,2020-05-05,5.0,1576
