Date,England,Northern Ireland,Scotland,United Kingdom,Wales
05/08/2020,27966.0,421.0,1761.0,31241.0,1089.0
05/09/2020,28249.0,425.0,1810.0,31586.0,1098.0
05/10/2020,28466.0,429.0,1846.0,31855.0,1110.0
05/11/2020,28656.0,434.0,1856.0,32065.0,1115.0
05/12/2020,29259.0,437.0,1861.0,32692.0,1131.0
05/13/2020,29672.0,446.0,1911.0,33186.0,1153.0
05/14/2020,30027.0,448.0,1972.0,33614.0,1163.0
05/15/2020,30363.0,453.0,2006.0,33998.0,1172.0
05/16/2020,30752.0,468.0,2052.0,34466.0,1190.0
05/17/2020,30865.0,472.0,2093.0,34636.0,1202.0
05/18/2020,31009.0,475.0,2102.0,34796.0,1206.0
05/19/2020,31529.0,481.0,2104.0,35341.0,1223.0
05/20/2020,31842.0,488.0,2133.0,35704.0,1237.0
05/21/2020,32116.0,493.0,2183.0,36042.0,1246.0
05/22/2020,32416.0,500.0,2220.0,36393.0,1253.0
05/23/2020,32665.0,503.0,2244.0,36675.0,1259.0
05/24/2020,33082.0,504.0,2260.0,37116.0,1266.0
05/25/2020,33186.0,505.0,2269.0,37237.0,1273.0
05/26/2020,33303.0,513.0,2272.0,37373.0,1281.0
05/27/2020,33708.0,513.0,2290.0,37807.0,1292.0
05/28/2020,34092.0,515.0,2303.0,38220.0,1306.0
05/29/2020,34441.0,517.0,2315.0,38593.0,1316.0
05/30/2020,34635.0,520.0,2330.0,38819.0,1330.0
05/31/2020,34716.0,521.0,2352.0,38934.0,1341.0
06/01/2020,34812.0,522.0,2361.0,39045.0,1346.0
06/02/2020,35127.0,523.0,2362.0,39369.0,1353.0
06/03/2020,35455.0,525.0,2374.0,39728.0,1370.0
06/04/2020,35604.0,533.0,2385.0,39904.0,1378.0
06/05/2020,35947.0,534.0,2394.0,40261.0,1382.0
06/06/2020,36126.0,535.0,2408.0,40465.0,1392.0
06/07/2020,36191.0,536.0,2414.0,40542.0,1397.0
