Date,England,Northern Ireland,Scotland,United Kingdom,Wales
05/26/2020,117.0,8.0,3.0,136.0,8.0
05/27/2020,405.0,0.0,18.0,434.0,11.0
05/28/2020,384.0,2.0,13.0,413.0,14.0
05/29/2020,349.0,2.0,12.0,373.0,10.0
05/30/2020,194.0,3.0,15.0,226.0,14.0
05/31/2020,81.0,1.0,22.0,115.0,11.0
06/01/2020,96.0,1.0,9.0,111.0,5.0
06/02/2020,315.0,1.0,1.0,324.0,7.0
06/03/2020,328.0,2.0,12.0,359.0,17.0
06/04/2020,149.0,8.0,11.0,176.0,8.0
